Topic,Count,Name,Representation,Readable,MMR Keywords
17,121,17_jugadores saprissa_saprissa_jugadores_jugadores carísimos,"['jugadores saprissa', 'saprissa', 'jugadores', 'jugadores carísimos', 'ir honduras', 'vacuna modric', 'concacaf', 'trae jugadores', 'honduras co', 'jugador']","[""Soccer Players' Requirements and Performances""]","['jugadores saprissa', 'jugadores', 'jugadores carísimos', 'ir honduras', 'vacuna modric', 'concacaf', 'fútbol cosas', 'jugador barcelona', 'siempre vacuna', 'fiebre amarilla']"
18,106,18_mspas vacuna_mqrwj6g0pm planvacunacovid19_mspas comparte_mqrwj6fsae planvacunacovid19,"['mspas vacuna', 'mqrwj6g0pm planvacunacovid19', 'mspas comparte', 'mqrwj6fsae planvacunacovid19', 'planvacunacovid19', 'primera dosis', 'planvacunacovid19 co', 'vacuna covid19', 'días vacunaste', 'mspas recomienda']",['MSPAS vaccination status updates'],"['mspas vacuna', 'mqrwj6g0pm planvacunacovid19', 'mspas comparte', 'mqrwj6fsae planvacunacovid19', 'primera dosis', 'planvacunacovid19 co', 'vacuna covid19', 'días vacunaste', 'yf2icakyea planvacunacovid19', 'igdfat4dfv mspas']"
19,93,19_fiebre amarilla_vacuna fiebre_vacuna_aplicación vacuna,"['fiebre amarilla', 'vacuna fiebre', 'vacuna', 'aplicación vacuna', 'piden vacuna', 'vacuna viruela', 'andresguzbj vacuna', 'alma_responde vacuna', 'fiebre', 'amarilla información']",['Vacunación contra la fiebre amarilla en Panamá'],"['fiebre amarilla', 'vacuna fiebre', 'aplicación vacuna', 'piden vacuna', 'andresguzbj vacuna', 'alma_responde vacuna', 'amarilla debe', 'amarilla visa', 'necesitas visa', 'días viaje']"
20,90,20_invirtió vacunas_gates compró_bill gates_pfizer pandemia,"['invirtió vacunas', 'gates compró', 'bill gates', 'pfizer pandemia', 'pandemia vendió', 'estadounidense pfizer', 'acciones pfizer', 'covid diciendo', 'desacreditar vacuna', 'millones dólares']","[""Bill Gates' investment and critique of Pfizer's COVID vaccine""]","['invirtió vacunas', 'gates compró', 'pfizer pandemia', 'pandemia vendió', 'estadounidense pfizer', 'millones dólares', 'criticar vacuna', 'dólares acciones', 'invertir nueva', 'funcionaba invertir']"
21,78,21_noticiasdca minsaludguate_información minsaludguate_minsaludguate vacuna_elgobdelosguatemaltecos minsaludguate,"['noticiasdca minsaludguate', 'información minsaludguate', 'minsaludguate vacuna', 'elgobdelosguatemaltecos minsaludguate', 'vacunación covid', 'minsaludguate confirma', 'guatemala paciente', 'embajador_gt minsaludguate', 'urgente minsaludguate', 'vacunación consulte']",['COVID-19 Vaccination Updates in Guatemala'],"['noticiasdca minsaludguate', 'información minsaludguate', 'minsaludguate vacuna', 'elgobdelosguatemaltecos minsaludguate', 'vacunación covid', 'minsaludguate confirma', 'guatemala paciente', 'embajador_gt minsaludguate', 'emisorasunidas minsaludguate', 'minsaludguate prensa_libre']"
22,62,22_judío si_israelí_descubrimiento judío_sionista,"['judío si', 'israelí', 'descubrimiento judío', 'sionista', 'judío', 'judíos', 'judía', 'israel', 'musulmanes radicales', 'jazara judeo']",['Contributions of Jewish and Israeli Innovations and Discoveries versus Radical Muslim Boycott'],"['judío si', 'israelí', 'descubrimiento judío', 'sionista', 'terroristas', 'vacuna polio', 'médico teléfono', 'sífilis', 'debe evitar', 'gaza']"
23,59,23_chikungunya vacuna_vacuna chikungunya_chikungunya primera_primera vacuna,"['chikungunya vacuna', 'vacuna chikungunya', 'chikungunya primera', 'primera vacuna', 'chikungunya avance', 'virus chikungunya', 'vacuna chikunguña', 'valneva chikungunya', 'chikungunya', 'chikungunya co']",['Aprobación de la primera vacuna contra el chikungunya por la FDA'],"['chikungunya vacuna', 'vacuna chikungunya', 'chikungunya primera', 'primera vacuna', 'chikungunya avance', 'fda aprueba', 'vacuna mundo', 'jueves vacuna', 'aprobada primera', 'medicamentos unidos']"
24,58,24_educación vacuna_vacuna educación_feminicidios educación_educación,"['educación vacuna', 'vacuna educación', 'feminicidios educación', 'educación', 'educacion', 'vacuna violencia', 'violencia edward', 'violencia', 'violencia mujeres', 'educación co']",['La educación como vacuna contra la violencia'],"['educación vacuna', 'vacuna educación', 'feminicidios educación', 'educación', 'vacuna violencia', 'violencia edward', 'violencia mujeres', 'educación inferior', 'estupidez vacuna', 'desigualdad']"
25,53,25_ttmffxrlfg baphomet_cglg0vyr6h_eu9phnw9x7_eujps9rxu0,"['ttmffxrlfg baphomet', 'cglg0vyr6h', 'eu9phnw9x7', 'eujps9rxu0', '8pm7db9v4v co', 'eujps9rxu0 co', 'baphomet co', 'uveg5oocie co', 'ru4kwpllnm co', 'uveg5oocie']",['Baphomet and Related URLs'],"['ttmffxrlfg baphomet', 'cglg0vyr6h', 'eu9phnw9x7', 'eujps9rxu0 co', 'baphomet co', 'p5gcmhqx3u co', 'zrgbw0cntj co', 'huzcmx9fml co', 'w7lbgr7exu', 'tu6iewy9ud co']"
26,43,26_varicela zóster_herpes zóster_vacuna herpes_culebrilla herpes,"['varicela zóster', 'herpes zóster', 'vacuna herpes', 'culebrilla herpes', 'herpes zoster', 'provocan herpes', 'provocar herpes', 'herpeszoster', 'postherpética', 'herpeszóster herpes']","['Herpes Zóster (Shingles) - Causes, Symptoms, Diagnosis, Treatment and Prevention']","['varicela zóster', 'vacuna herpes', 'culebrilla herpes', 'herpes zoster', 'provocan herpes', 'zoster luego', 'prevención vacuna', 'disponemos vacuna', 'sacan vacuna', 'vacunan provocan']"
27,43,27_vacuna colesterol_reducir colesterol_colesterol españa_vacuna alzheimer,"['vacuna colesterol', 'reducir colesterol', 'colesterol españa', 'vacuna alzheimer', 'llega vacuna', 'colesterol evita', 'vacuna alzhéimer', 'altos colesterol', 'forma vacuna', 'vacuna podría']",['avances en vacunas para enfermedades crónicas'],"['vacuna colesterol', 'reducir colesterol', 'colesterol españa', 'vacuna alzheimer', 'altos colesterol', 'vacuna podría', 'prevenir esclerosis', 'vacuna española', 'prevenir reducir', 'esclerosis múltiple']"
28,40,28_saludpublicard luisabinader_luisabinader saludpublicard_luisabinader prm_oficial_saludpublicard prm_oficial,"['saludpublicard luisabinader', 'luisabinader saludpublicard', 'luisabinader prm_oficial', 'saludpublicard prm_oficial', 'saludpublicard saludpublicard', 'saludpublicard farideraful', 'ministeriosalud raquelarbaje', 'prm_oficial presidenciard', 'saludpublicard', 'presidenciard luisabinader']",['Dominican Republic Government and Public Health'],"['saludpublicard luisabinader', 'luisabinader saludpublicard', 'luisabinader prm_oficial', 'saludpublicard saludpublicard', 'saludpublicard farideraful', 'ministeriosalud raquelarbaje', 'presidenciard luisabinader', 'presidenciard farideraful', 'ccssdecostarica msaludcr', 'farideraful luisabinader']"
29,37,29_tres dosis_ponerme puse_leyendo dosis_tampoco ponerme,"['tres dosis', 'ponerme puse', 'leyendo dosis', 'tampoco ponerme', 'puse solo', 'necesitaba dos', 'ponerme', 'solo puse', 'cuál puse', 'triple dosis']",['COVID-19 Vaccination Experiences'],"['tres dosis', 'ponerme puse', 'leyendo dosis', 'puse solo', 'necesitaba dos', 'quedé dosis', 'jesucristo dosis', 'dosis condenados', 'dosis moderna', 'quién miedo']"
30,34,30_climático vacuna_calentamiento global_cambio climático_después covid,"['climático vacuna', 'calentamiento global', 'cambio climático', 'después covid', 'vacuna primaveras', 'vacuna cambio', 'invasion alienigena', 'covid venía', 'vacuna primavera', 'covid vacuna']","['COVID, Climate Change, Vaccines, and Conspiracy Theories on Alien Invasion and New World Order']","['climático vacuna', 'calentamiento global', 'después covid', 'vacuna primaveras', 'covid venía', 'covid vacuna', 'climático finalmente', 'planeta seres', 'dimensionales demonios', 'finalmente invasion']"
31,28,31_vacuna cocaína_adicción cocaína_vacuna anticocaína_cocaína medicamento,"['vacuna cocaína', 'adicción cocaína', 'vacuna anticocaína', 'cocaína medicamento', 'efectos cocaína', 'vacuna adicción', 'cocaína crack', 'cocaína', 'cocaína co', 'anticocaína co']",['Development of Experimental Vaccine Against Cocaine and Crack Addiction in Brazil'],"['vacuna cocaína', 'adicción cocaína', 'vacuna anticocaína', 'cocaína medicamento', 'efectos cocaína', 'vacuna adicción', 'cocaína crack', 'primera vacuna', 'experimental adicción', 'brasil desarrollan']"
32,23,32____,"['', '', '', '', '', '', '', '', '', '']",['Emoji Reactions'],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
33,22,33_nipah vacuna_nipahvirus_virus nipah_nipah existe,"['nipah vacuna', 'nipahvirus', 'virus nipah', 'nipah existe', 'nipah', 'mortal nipah', 'nipah ubica', 'nipah co', 'india alerta', 'india virus']",['Alerta en el sur de India por el virus mortal Nipah'],"['nipah vacuna', 'nipahvirus', 'virus nipah', 'nipah existe', 'mortal nipah', 'india alerta', 'india virus', 'virus mortal', 'personas infectadas', 'lkyq0zf5i4 virusnipah']"
34,21,34_lactancia materna_lactancia_sabías lactancia_vacuna refuerzo,"['lactancia materna', 'lactancia', 'sabías lactancia', 'vacuna refuerzo', 'madres lactantes', 'arnm lactancia', 'transmitir anticuerpos', 'leche materna', 'lactantes', 'vacuna recibe']",['Transmisión de anticuerpos contra el COVID-19 a través de la lactancia materna después de vacuna de refuerzo'],"['lactancia materna', 'sabías lactancia', 'vacuna refuerzo', 'madres lactantes', 'arnm lactancia', 'transmitir anticuerpos', 'materna tras', 'través leche', 'covid puede', 'recibe bebé']"
35,19,35_novak siempre_covid novak_djokovic vauncarse_novak entrevistador,"['novak siempre', 'covid novak', 'djokovic vauncarse', 'novak entrevistador', 'novak', 'pagar novak', 'novak djokovic', 'rafael nadal', 'entrevistador novak', 'atp novak']","[""Novak Djokovic's stance on COVID-19 vaccination versus Rafael Nadal's experience""]","['novak siempre', 'covid novak', 'djokovic vauncarse', 'novak entrevistador', 'pagar novak', 'novak djokovic', 'atp novak', 'bbcnews djokernole', 'promotores vacuna', 'mantuvo altisimo']"
36,17,36_remozado hospital_nacional salud_hospital municipal_abinader entregó,"['remozado hospital', 'nacional salud', 'hospital municipal', 'abinader entregó', 'luis abinader', 'salud sns', 'habilitaron 13', 'servicio nacional', 'primera dama', '12 remozaron']",['Inauguration and Renovation of Public Health and Childcare Facilities in the Dominican Republic'],"['remozado hospital', 'nacional salud', 'luis abinader', 'habilitaron 13', 'primera dama', '12 remozaron', 'noticiasdnn', 'camas internamiento', 'inversión rd', 'consultorios']"
37,17,37_diariolibre_ustedes diariolibre_z6fvm72j4v diariolibre_xymeyplwmg diariolibre,"['diariolibre', 'ustedes diariolibre', 'z6fvm72j4v diariolibre', 'xymeyplwmg diariolibre', 'diariolibre co', 'diariolibre madave26', 'pobres diariolibre', 'diariolibre pongo', 'mmgvos diariolibre', 'diariolibre pendejo']",['Inspirational and philosophical quotes shared by Diario Libre on Twitter'],"['ustedes diariolibre', 'z6fvm72j4v diariolibre', 'xymeyplwmg diariolibre', 'diariolibre co', 'diariolibre madave26', 'pobres diariolibre', 'diariolibre pongo', 'mmgvos diariolibre', 'nuve diariolibre', 'plan diariolibre']"
38,14,38_vacuna india_inmunidad india_pfizer insistió_pfizer nunca,"['vacuna india', 'inmunidad india', 'pfizer insistió', 'pfizer nunca', 'eficacia pfizer', 'pfizer solicitado', 'pfizer negó', 'india insistió', 'vendió vacuna', 'ue pfizer']",['Pfizer Vaccine Authorization Issues in India'],"['vacuna india', 'inmunidad india', 'pfizer insistió', 'pfizer nunca', 'eficacia pfizer', 'india insistió', 'vendió vacuna', 'gobierno india', 'eficacia vacuna', 'seguridad inmunogenicidad']"
39,14,39_porcicultores dominicanos_delegación porcicultores_vacuna ppa_pionero vacuna,"['porcicultores dominicanos', 'delegación porcicultores', 'vacuna ppa', 'pionero vacuna', 'visitan laboratorio', 'dominicanos visitan', 'porcicultores', 'ppa vietnam', 'cruz laboratorio', 'laboratorio pionero']",['Dominican Pork Producers Visit Pioneering African Swine Fever Vaccine Laboratory in Vietnam'],"['porcicultores dominicanos', 'delegación porcicultores', 'vacuna ppa', 'pionero vacuna', 'visitan laboratorio', 'dominicanos visitan', 'vietnam limber', 'agricultura limber', 'reiteró peste', 'innovaciondrd entérese']"
40,14,40_neuróloga italiana_vacuna covid_biológica crimen_covid vacuna,"['neuróloga italiana', 'vacuna covid', 'biológica crimen', 'covid vacuna', 'scojr7ref0 vacuna', 'humanidad detenerlo', 'arma biológica', 'vacuna', 'afirmar vacuna', 'crimen humanidad']","[""Italian Neurologist's Claim on COVID-19 Vaccine as Biological Weapon""]","['neuróloga italiana', 'vacuna covid', 'biológica crimen', 'scojr7ref0 vacuna', 'humanidad detenerlo', 'humano violación', 'covid nunca', 'genética co', 'sino arma', 'europeos simples']"
41,13,41_vacuna sputnik_venezuela sputnik_sputnik aguante_sputnikv resultó,"['vacuna sputnik', 'venezuela sputnik', 'sputnik aguante', 'sputnikv resultó', 'sputnik efectos', 'rusa sputnikv', 'mal sputnik', 'sputnik moderna', 'salvando sputnik', 'sputnik rusia']",['Venezuelan Reception and Efficacy of Sputnik V Vaccine'],"['vacuna sputnik', 'venezuela sputnik', 'sputnik aguante', 'sputnikv resultó', 'sputnik efectos', 'rusa sputnikv', 'sputnik moderna', 'salvando sputnik', 'williamserafino vacuna', 'sputnik venas']"
42,13,42_vacuna cólera_simplificada cólera_emergencia cólera_vacuna simplificada,"['vacuna cólera', 'simplificada cólera', 'emergencia cólera', 'vacuna simplificada', 'nueva vacuna', 'cólera administrable', 'oral cólera', 'cólera frente', 'similar vacunas', 'salud oms']",['Simplified Oral Cholera Vaccine Approval and Crisis Response'],"['vacuna cólera', 'simplificada cólera', 'emergencia cólera', 'vacuna simplificada', 'nueva vacuna', 'cólera administrable', 'cólera frente', 'situación oms', 'eficacia similar', 'gavi unicef_es']"
43,12,43_opsoms fctcofficial_4ipd8tzsxp opsoms_opsoms co_opsoms,"['opsoms fctcofficial', '4ipd8tzsxp opsoms', 'opsoms co', 'opsoms', 'diropspaho opsoms', 'opsoms noaltratadodelaoms', 'drtedros opsoms', '4ipd8tzsxp worldhealthsmt', '4ipd8tzsxp whoafro', 'worldhealthsmt co']",['OPSOMS and Global Health Updates'],"['opsoms fctcofficial', '4ipd8tzsxp opsoms', 'diropspaho opsoms', 'drtedros opsoms', '4ipd8tzsxp worldhealthsmt', '4ipd8tzsxp whoafro', '4ipd8tzsxp diropspaho', 'whoemro co', 'noaltratadodelaoms co', 'drsaimawazed who_bd']"
44,12,44_mintiendo covid_médicos estadounidenses_médico todavía_tucker carlson,"['mintiendo covid', 'médicos estadounidenses', 'médico todavía', 'tucker carlson', 'médicos disculpen', 'médicos unidos', 'médico sigue', 'iría médico', 'carlson exige', 'recomendar vacuna']",['Tucker Carlson criticizes U.S. doctors for not apologizing about COVID vaccine misinformation'],"['mintiendo covid', 'médicos estadounidenses', 'tucker carlson', 'médicos disculpen', 'médico sigue', 'carlson exige', 'recomendar vacuna', 'sigue mintiendo', 'miles médicos', 'covid permanente']"
45,12,45_colocarte vacuna_vacuna acude_vacuna protégetepanamá_acude centro,"['colocarte vacuna', 'vacuna acude', 'vacuna protégetepanamá', 'acude centro', 'vacuna', 'salud policlínica', 'policlínica cercana', 'centro salud', 'vacuna co', 'acude']",['Protégete Panamá - Vacunación en centros de salud y policlínicas'],"['colocarte vacuna', 'vacuna acude', 'vacuna protégetepanamá', 'acude centro', 'policlínica cercana', 'centro salud', 'cercana colocarte', 'salud cercano', 'puedes acudir', 'r5pyjdi2wm acude']"
46,11,46_hombre vacunó_hombre vacuna_persona vacunada_vacunada historia,"['hombre vacunó', 'hombre vacuna', 'persona vacunada', 'vacunada historia', 'vacunado 217', 'vacunó 217', 'vacunó', 'hipervacunación tan', '217 vacunas', 'vacunada']",['Hombre se vacunó 217 veces contra COVID-19'],"['hombre vacunó', 'hombre vacuna', 'persona vacunada', 'vacunada historia', 'vacunado 217', 'vacunó 217', 'hipervacunación tan', '217 vacunas', 'vacuna coronavirus', 'historia covid']"
47,11,47_alopecia vacuna_vacuna alopecia_antivacunas calvicie_vacuna calvicie,"['alopecia vacuna', 'vacuna alopecia', 'antivacunas calvicie', 'vacuna calvicie', 'calvicie vacuna', 'acabar calvicie', 'pelo vacunas', 'síntomas calvicie', 'injertados calvos', 'alopecia adiós']",['vacuna contra la calvicie'],"['alopecia vacuna', 'vacuna alopecia', 'antivacunas calvicie', 'calvicie vacuna', 'acabar calvicie', 'pelo vacunas', 'síntomas calvicie', 'injertados calvos', 'alopecia adiós', 'quedando calva']"
48,10,48_total_total total_wtf total_total tas,"['total', 'total total', 'wtf total', 'total tas', 'fatal tons', 'tons', 'tons fak', 'tas', 'tas vravaaaaaaa', 'vravaaaaaaa ahhh']",['total confusion'],"['total total', 'wtf total', 'total tas', 'fatal tons', 'tons fak', 'vravaaaaaaa ahhh', 'fatal', 'fak wtf', 'si fatal', '', '', '', '', '', '', '', '', '', '', '', '']"
